Time Stamp,Name,Load
01/01/2004 03:18:17,NORTH,621
01/01/2004 03:18:17,WEST,1402
01/01/2004 03:23:17,CAPITL,856
01/01/2004 03:23:17,CENTRL,1437
01/01/2004 03:23:17,DUNWOD,511
01/01/2004 03:23:17,GENESE,815
01/01/2004 03:23:17,HUD VL,928
01/01/2004 03:23:17,MHK VL,524
01/01/2004 03:23:17,MILLWD,170
01/01/2004 03:23:17,N.Y.C._LONGIL,6041
01/01/2004 03:23:17,NORTH,612
01/01/2004 03:23:17,WEST,1389
01/01/2004 03:24:47,CAPITL,857
01/01/2004 03:24:47,CENTRL,1435
01/01/2004 03:24:47,DUNWOD,535
01/01/2004 03:24:47,GENESE,809
01/01/2004 03:24:47,HUD VL,916
01/01/2004 03:24:47,MHK VL,526
01/01/2004 03:24:47,MILLWD,179
01/01/2004 03:24:47,N.Y.C._LONGIL,5992
01/01/2004 03:24:47,NORTH,613
01/01/2004 03:24:47,WEST,1396
01/01/2004 03:29:47,CAPITL,859
01/01/2004 03:29:47,CENTRL,1436
01/01/2004 03:29:47,DUNWOD,510
01/01/2004 03:29:47,GENESE,810
01/01/2004 03:29:47,HUD VL,921
01/01/2004 03:29:47,MHK VL,522
01/01/2004 03:29:47,MILLWD,178
01/01/2004 03:29:47,N.Y.C._LONGIL,6015
01/01/2004 03:29:47,NORTH,612
01/01/2004 03:29:47,WEST,1387
01/01/2004 03:31:17,CAPITL,846
01/01/2004 03:31:17,CENTRL,1439
01/01/2004 03:31:17,DUNWOD,515
01/01/2004 03:31:17,GENESE,804
01/01/2004 03:31:17,HUD VL,917
01/01/2004 03:31:17,MHK VL,528
01/01/2004 03:31:17,MILLWD,174
01/01/2004 03:31:17,N.Y.C._LONGIL,5997
01/01/2004 03:31:17,NORTH,612
01/01/2004 03:31:17,WEST,1404
01/01/2004 03:36:17,CAPITL,852
01/01/2004 03:36:17,CENTRL,1440
01/01/2004 03:36:17,DUNWOD,499
01/01/2004 03:36:17,GENESE,809
01/01/2004 03:36:17,HUD VL,909
01/01/2004 03:36:17,MHK VL,523
01/01/2004 03:36:17,MILLWD,184
01/01/2004 03:36:17,N.Y.C._LONGIL,6010
01/01/2004 03:36:17,NORTH,617
01/01/2004 03:36:17,WEST,1363
01/01/2004 03:37:47,CAPITL,845
01/01/2004 03:37:47,CENTRL,1435
01/01/2004 03:37:47,DUNWOD,501
01/01/2004 03:37:47,GENESE,809
01/01/2004 03:37:47,HUD VL,908
01/01/2004 03:37:47,MHK VL,519
01/01/2004 03:37:47,MILLWD,178
01/01/2004 03:37:47,N.Y.C._LONGIL,5976
01/01/2004 03:37:47,NORTH,622
01/01/2004 03:37:47,WEST,1409
01/01/2004 03:42:47,CAPITL,838
01/01/2004 03:42:47,CENTRL,1429
01/01/2004 03:42:47,DUNWOD,505
01/01/2004 03:42:47,GENESE,801
01/01/2004 03:42:47,HUD VL,939
01/01/2004 03:42:47,MHK VL,522
01/01/2004 03:42:47,MILLWD,177
01/01/2004 03:42:47,N.Y.C._LONGIL,5973
01/01/2004 03:42:47,NORTH,605
01/01/2004 03:42:47,WEST,1373
01/01/2004 03:47:47,CAPITL,850
01/01/2004 03:47:47,CENTRL,1428
01/01/2004 03:47:47,DUNWOD,506
01/01/2004 03:47:47,GENESE,806
01/01/2004 03:47:47,HUD VL,900
01/01/2004 03:47:47,MHK VL,521
01/01/2004 03:47:47,MILLWD,173
01/01/2004 03:47:47,N.Y.C._LONGIL,5979
01/01/2004 03:47:47,NORTH,617
01/01/2004 03:47:47,WEST,1346
01/01/2004 03:52:47,CAPITL,849
01/01/2004 03:52:47,CENTRL,1439
01/01/2004 03:52:47,DUNWOD,498
01/01/2004 03:52:47,GENESE,803
01/01/2004 03:52:47,HUD VL,908
01/01/2004 03:52:47,MHK VL,520
01/01/2004 03:52:47,MILLWD,183
01/01/2004 03:52:47,N.Y.C._LONGIL,5959
01/01/2004 03:52:47,NORTH,616
01/01/2004 03:52:47,WEST,1395
01/01/2004 03:55:17,CAPITL,854
01/01/2004 03:55:17,CENTRL,1440
01/01/2004 03:55:17,DUNWOD,495
01/01/2004 03:55:17,GENESE,802
01/01/2004 03:55:17,HUD VL,909
01/01/2004 03:55:17,MHK VL,528
01/01/2004 03:55:17,MILLWD,180
